 in_star,      iq
       1,     126
       2,     766
       3,     942
       4,     390
       5,     577
       6,     513
       7,     939
       8,     195
       9,     420
      10,     894
      11,     252
      12,     658
      13,     216
      14,     676
      15,     492
      16,     840
      17,     153
      18,     915
      19,     757
      20,     399
      21,     984
      22,     522
      23,     150
      24,     568
       1,     986
       2,     346
       3,     170
       4,     722
       5,     535
       6,     599
       7,     173
       8,     917
       9,     692
      10,     218
      11,     860
      12,     454
      13,     896
      14,     436
      15,     620
      16,     272
      17,     959
      18,     197
      19,     355
      20,     713
      21,     128
      22,     590
      23,     962
      24,     544
