#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
     0.2400000000E+03    0.1208336085E+02    0.9001809280E+01    0.1125105071E+02   -0.8323101408E+00    0.2249876797E+01    0.3201425810E-02
     0.2410000000E+03    0.1208336090E+02    0.9001809330E+01    0.1125105643E+02   -0.8323044700E+00    0.2249882471E+01    0.3201441632E-02
     0.2420000000E+03    0.1208336096E+02    0.9001809404E+01    0.1125097006E+02   -0.8323908989E+00    0.2249795989E+01    0.3201439090E-02
     0.2430000000E+03    0.1208336110E+02    0.9001809620E+01    0.1125106256E+02   -0.8322985393E+00    0.2249888318E+01    0.3201440804E-02
     0.2440000000E+03    0.1208336115E+02    0.9001809660E+01    0.1125108710E+02   -0.8322740570E+00    0.2249912833E+01    0.3201466969E-02
     0.2450000000E+03    0.1208336116E+02    0.9001809729E+01    0.1125105024E+02   -0.8323109278E+00    0.2249875884E+01    0.3201438177E-02
     0.2460000000E+03    0.1208341946E+02    0.9001864618E+01    0.1125103802E+02   -0.8323814471E+00    0.2249808740E+01    0.3201416942E-02
     0.2470000000E+03    0.1208341950E+02    0.9001864689E+01    0.1125102439E+02   -0.8323951053E+00    0.2249795038E+01    0.3201414500E-02
     0.2480000000E+03    0.1208341957E+02    0.9001864739E+01    0.1125098920E+02   -0.8324303683E+00    0.2249759783E+01    0.3201420531E-02
     0.2490000000E+03    0.1208341965E+02    0.9001864850E+01    0.1125111120E+02   -0.8323084493E+00    0.2249881734E+01    0.3201487313E-02
     0.2500000000E+03    0.1208341973E+02    0.9001864915E+01    0.1125110461E+02   -0.8323151184E+00    0.2249875076E+01    0.3201498738E-02
     0.2510000000E+03    0.1208341979E+02    0.9001864986E+01    0.1125105322E+02   -0.8323665747E+00    0.2249823576E+01    0.3201459870E-02
     0.2520000000E+03    0.1208341983E+02    0.9001865135E+01    0.1125119875E+02   -0.8322210719E+00    0.2249969056E+01    0.3201485293E-02
     0.2530000000E+03    0.1208342001E+02    0.9001865363E+01    0.1125109516E+02   -0.8323248463E+00    0.2249865164E+01    0.3201458932E-02
     0.2540000000E+03    0.1388387927E+02    0.1136954384E+02    0.1314100693E+02   -0.7428723459E+00    0.1771862824E+01    0.2454086928E-02
     0.2550000000E+03    0.1388387941E+02    0.1136954405E+02    0.1314112932E+02   -0.7427500908E+00    0.1771985046E+01    0.2454083926E-02
     0.2560000000E+03    0.1388387959E+02    0.1136954430E+02    0.1314122952E+02   -0.7426500722E+00    0.1772085026E+01    0.2454095283E-02
     0.2570000000E+03    0.1839815022E+02    0.2405613843E+02    0.1938249913E+02    0.9843489028E+00   -0.4674328275E+01   -0.2724389875E-02
     0.2580000000E+03    0.1839815027E+02    0.2405613850E+02    0.1938246450E+02    0.9843142250E+00   -0.4674362992E+01   -0.2724399589E-02
     0.2590000000E+03    0.1839815038E+02    0.2405613862E+02    0.1938250106E+02    0.9843506858E+00   -0.4674326526E+01   -0.2724399620E-02
     0.2600000000E+03    0.1839826576E+02    0.2405628783E+02    0.1938261463E+02    0.9843488644E+00   -0.4674362163E+01   -0.2724306728E-02
     0.2610000000E+03    0.1839826588E+02    0.2405628797E+02    0.1938268010E+02    0.9844142247E+00   -0.4674296806E+01   -0.2724306379E-02
     0.2620000000E+03    0.1839826589E+02    0.2405628797E+02    0.1938263156E+02    0.9843656755E+00   -0.4674345369E+01   -0.2724308990E-02
     0.2630000000E+03    0.1870050528E+02    0.2426251422E+02    0.1951793266E+02    0.8174273854E+00   -0.4745085607E+01   -0.2699996348E-02
