 ikr ibn iq imode EPCE[meV]
   1 100   1   1    0.0000000000E+00
   1 100   1   2    0.0000000000E+00
   1 100   1   3    0.0000000000E+00
   1 100   1   4    0.1556482023E+02
   1 100   1   5    0.1128815429E+02
   1 100   1   6    0.2433550172E+02
   1 100   1   7    0.1500696695E+02
   1 100   1   8    0.1624937744E+02
   1 100   1   9    0.1528540861E+02
   1 100   1  10    0.2325169954E+02
   1 100   1  11    0.9983351297E+01
   1 100   1  12    0.1454713071E+02
   1 100   1  13    0.9958561169E+01
   1 100   1  14    0.1144090329E+02
   1 100   1  15    0.1795319193E+02
   1 100   1  16    0.3503502882E+02
   1 100   1  17    0.9940659071E+01
   1 100   1  18    0.1333545379E+02
   1 100   1  19    0.9183738474E+01
   1 100   1  20    0.1027492119E+02
   1 100   1  21    0.6388220098E+01
   1 100   1  22    0.9738573452E+01
   1 100   1  23    0.1085599658E+02
   1 100   1  24    0.8719166092E+01
   1 100   1  25    0.6665197542E+01
   1 100   1  26    0.2098485912E+02
   1 100   1  27    0.1648554679E+02
   1 100   1  28    0.7210243597E+01
   1 100   1  29    0.9500940930E+01
   1 100   1  30    0.1118496940E+02
   1 100   1  31    0.7867675043E+01
   1 100   1  32    0.1028724791E+02
   1 100   1  33    0.7179084028E+01
   1 100   1  34    0.8504369013E+01
   1 100   1  35    0.6844209548E+01
   1 100   1  36    0.6922961994E+01
   1 100   1  37    0.7432459701E+01
   1 100   1  38    0.9300549823E+01
   1 100   1  39    0.9918039530E+01
   1 100   1  40    0.1018495034E+02
   1 100   1  41    0.2377231866E+02
   1 100   1  42    0.9719045272E+01
   1 100   1  43    0.7126474642E+01
   1 100   1  44    0.1562825888E+02
   1 100   1  45    0.7260653200E+01
   1 100   1  46    0.6688554431E+01
   1 100   1  47    0.1206195074E+02
   1 100   1  48    0.1482780196E+02
   1 100   1  49    0.8183954592E+01
   1 100   1  50    0.7461743920E+01
   1 100   1  51    0.6621276882E+01
   1 100   1  52    0.6989636168E+01
   1 100   1  53    0.7046381136E+01
   1 100   1  54    0.1258593384E+02
   1 100   1  55    0.4574948521E+01
   1 100   1  56    0.1217671914E+02
   1 100   1  57    0.9634221198E+01
   1 100   1  58    0.7380034865E+01
   1 100   1  59    0.9159745678E+01
   1 100   1  60    0.1360305100E+02
   1 100   1  61    0.6955173550E+01
   1 100   1  62    0.7799804781E+01
   1 100   1  63    0.5860104204E+01
   1 100   1  64    0.1060569057E+02
   1 100   1  65    0.7658774608E+01
   1 100   1  66    0.6830981762E+01
   1 100   1  67    0.4903349847E+01
   1 100   1  68    0.8721243269E+01
   1 100   1  69    0.5379766100E+01
   1 100   1  70    0.5557296212E+01
   1 100   1  71    0.6653314082E+01
   1 100   1  72    0.1137423125E+02
   1 100   1  73    0.8927517451E+01
   1 100   1  74    0.5577132191E+01
   1 100   1  75    0.6059763662E+01
   1 100   1  76    0.5708594899E+01
   1 100   1  77    0.4657443759E+01
   1 100   1  78    0.7591437685E+01
   1 100   1  79    0.7458073158E+01
   1 100   1  80    0.5155253991E+01
   1 100   1  81    0.4056751955E+01
   1 100   1  82    0.5189356304E+01
   1 100   1  83    0.1091207507E+02
   1 100   1  84    0.7552185171E+01
   1 100   1  85    0.1333136356E+02
