 ikr ibn iq imode EPCE[meV]
   1 100   1   1    0.0000000000E+00
   1 100   1   2    0.0000000000E+00
   1 100   1   3    0.0000000000E+00
   1 100   1   4   -0.1529609997E+02
   1 100   1   5   -0.1070262653E+02
   1 100   1   6   -0.2406599107E+02
   1 100   1   7   -0.1466274795E+02
   1 100   1   8   -0.1595846717E+02
   1 100   1   9   -0.1486039672E+02
   1 100   1  10   -0.2313305852E+02
   1 100   1  11   -0.9926745506E+01
   1 100   1  12   -0.1454776058E+02
   1 100   1  13   -0.9780754434E+01
   1 100   1  14   -0.1084790555E+02
   1 100   1  15   -0.1740880872E+02
   1 100   1  16   -0.3459825775E+02
   1 100   1  17   -0.9093659113E+01
   1 100   1  18   -0.1271581301E+02
   1 100   1  19   -0.8508997475E+01
   1 100   1  20   -0.1005470936E+02
   1 100   1  21   -0.6169751089E+01
   1 100   1  22   -0.9553289814E+01
   1 100   1  23   -0.1046012861E+02
   1 100   1  24   -0.8379921429E+01
   1 100   1  25   -0.6354255964E+01
   1 100   1  26   -0.2078453842E+02
   1 100   1  27   -0.1652499610E+02
   1 100   1  28   -0.7055637934E+01
   1 100   1  29   -0.8826261869E+01
   1 100   1  30   -0.1057845787E+02
   1 100   1  31   -0.7369114569E+01
   1 100   1  32   -0.9923487026E+01
   1 100   1  33   -0.6733215918E+01
   1 100   1  34   -0.7958433754E+01
   1 100   1  35   -0.6403299885E+01
   1 100   1  36   -0.6680907591E+01
   1 100   1  37   -0.6700837237E+01
   1 100   1  38   -0.8931981540E+01
   1 100   1  39   -0.9363325555E+01
   1 100   1  40   -0.9749360238E+01
   1 100   1  41   -0.2320805462E+02
   1 100   1  42   -0.9032312264E+01
   1 100   1  43   -0.6526928028E+01
   1 100   1  44   -0.1527389676E+02
   1 100   1  45   -0.6972921133E+01
   1 100   1  46   -0.6328008979E+01
   1 100   1  47   -0.1260111100E+02
   1 100   1  48   -0.1443321489E+02
   1 100   1  49   -0.7485890878E+01
   1 100   1  50   -0.6708926814E+01
   1 100   1  51   -0.5409230225E+01
   1 100   1  52   -0.5973550156E+01
   1 100   1  53   -0.6448813125E+01
   1 100   1  54   -0.1359751911E+02
   1 100   1  55   -0.5679900475E+01
   1 100   1  56   -0.1198371528E+02
   1 100   1  57   -0.8878075995E+01
   1 100   1  58   -0.6030768252E+01
   1 100   1  59   -0.6570070985E+01
   1 100   1  60   -0.1256417281E+02
   1 100   1  61   -0.5185785563E+01
   1 100   1  62   -0.7830744002E+01
   1 100   1  63   -0.5468999240E+01
   1 100   1  64   -0.1041660076E+02
   1 100   1  65   -0.7417457404E+01
   1 100   1  66   -0.6141514264E+01
   1 100   1  67   -0.4393605844E+01
   1 100   1  68   -0.8373374370E+01
   1 100   1  69   -0.5083678921E+01
   1 100   1  70   -0.5378007546E+01
   1 100   1  71   -0.6357108128E+01
   1 100   1  72   -0.1174689382E+02
   1 100   1  73   -0.8320106489E+01
   1 100   1  74   -0.5141602676E+01
   1 100   1  75   -0.5128665605E+01
   1 100   1  76   -0.5767363317E+01
   1 100   1  77   -0.4255103063E+01
   1 100   1  78   -0.6913271287E+01
   1 100   1  79   -0.6909005937E+01
   1 100   1  80   -0.4254846558E+01
   1 100   1  81   -0.3443740807E+01
