 ikr ibn iq imode EPCE[meV]
   1 100   1   1    0.0000000000E+00
   1 100   1   2    0.0000000000E+00
   1 100   1   3    0.0000000000E+00
   1 100   1   4   -0.1503201358E+02
   1 100   1   5   -0.1075074999E+02
   1 100   1   6   -0.2357794952E+02
   1 100   1   7   -0.1439403683E+02
   1 100   1   8   -0.1585479591E+02
   1 100   1   9   -0.1469303314E+02
   1 100   1  10   -0.2254348559E+02
   1 100   1  11   -0.9707941139E+01
   1 100   1  12   -0.1417899883E+02
   1 100   1  13   -0.9413173157E+01
   1 100   1  14   -0.1118837772E+02
   1 100   1  15   -0.1730241808E+02
   1 100   1  16   -0.3419892420E+02
   1 100   1  17   -0.9458579739E+01
   1 100   1  18   -0.1271668687E+02
   1 100   1  19   -0.8752684300E+01
   1 100   1  20   -0.9790278014E+01
   1 100   1  21   -0.6035218603E+01
   1 100   1  22   -0.9285523789E+01
   1 100   1  23   -0.1026649821E+02
   1 100   1  24   -0.8214855021E+01
   1 100   1  25   -0.6226154697E+01
   1 100   1  26   -0.2042889232E+02
   1 100   1  27   -0.1624085859E+02
   1 100   1  28   -0.6975370275E+01
   1 100   1  29   -0.8697149883E+01
   1 100   1  30   -0.1050475332E+02
   1 100   1  31   -0.7330565505E+01
   1 100   1  32   -0.9625448432E+01
   1 100   1  33   -0.6644593392E+01
   1 100   1  34   -0.7842964892E+01
   1 100   1  35   -0.6318242741E+01
   1 100   1  36   -0.6487467686E+01
   1 100   1  37   -0.6630027091E+01
   1 100   1  38   -0.8635043122E+01
   1 100   1  39   -0.9165550455E+01
   1 100   1  40   -0.9604918889E+01
   1 100   1  41   -0.2275171412E+02
   1 100   1  42   -0.8843824386E+01
   1 100   1  43   -0.6387534429E+01
   1 100   1  44   -0.1493539361E+02
   1 100   1  45   -0.6326502313E+01
   1 100   1  46   -0.6325261746E+01
   1 100   1  47   -0.1242656636E+02
   1 100   1  48   -0.1443121116E+02
   1 100   1  49   -0.8896920278E+01
   1 100   1  50   -0.7906727450E+01
   1 100   1  51   -0.6988858955E+01
   1 100   1  52   -0.7307466623E+01
   1 100   1  53   -0.8971587803E+01
   1 100   1  54   -0.1345540724E+02
   1 100   1  55   -0.5877527985E+01
   1 100   1  56   -0.1172453361E+02
   1 100   1  57   -0.8410821267E+01
   1 100   1  58   -0.7363391545E+01
   1 100   1  59   -0.9234245858E+01
   1 100   1  60   -0.1253879656E+02
   1 100   1  61   -0.5265827123E+01
   1 100   1  62   -0.7571738974E+01
   1 100   1  63   -0.5672336044E+01
   1 100   1  64   -0.1016417344E+02
   1 100   1  65   -0.7181548651E+01
   1 100   1  66   -0.6230682866E+01
   1 100   1  67   -0.4603045657E+01
   1 100   1  68   -0.8414174477E+01
   1 100   1  69   -0.5144579393E+01
   1 100   1  70   -0.5345639513E+01
   1 100   1  71   -0.6199956107E+01
   1 100   1  72   -0.1130622276E+02
   1 100   1  73   -0.8614609402E+01
   1 100   1  74   -0.5171783244E+01
   1 100   1  75   -0.5846700285E+01
   1 100   1  76   -0.5771907057E+01
   1 100   1  77   -0.4011793575E+01
   1 100   1  78   -0.6164000509E+01
   1 100   1  79   -0.6662079023E+01
   1 100   1  80   -0.4749175318E+01
   1 100   1  81   -0.3395828792E+01
