 ikr ibn iq imode EPCE[meV]
   1 100   1   1    0.0000000000E+00
   1 100   1   2    0.0000000000E+00
   1 100   1   3    0.0000000000E+00
   1 100   1   4    0.1520635395E+02
   1 100   1   5    0.1102113324E+02
   1 100   1   6    0.2391806347E+02
   1 100   1   7    0.1471063590E+02
   1 100   1   8    0.1585229939E+02
   1 100   1   9    0.1496565792E+02
   1 100   1  10    0.2281313663E+02
   1 100   1  11    0.9789666883E+01
   1 100   1  12    0.1426038988E+02
   1 100   1  13    0.9722034967E+01
   1 100   1  14    0.1122190199E+02
   1 100   1  15    0.1765991015E+02
   1 100   1  16    0.3438450232E+02
   1 100   1  17    0.9505749683E+01
   1 100   1  18    0.1296565117E+02
   1 100   1  19    0.9102124151E+01
   1 100   1  20    0.1005654697E+02
   1 100   1  21    0.6255041951E+01
   1 100   1  22    0.9520076437E+01
   1 100   1  23    0.1062794532E+02
   1 100   1  24    0.8546578920E+01
   1 100   1  25    0.6509321574E+01
   1 100   1  26    0.2057788617E+02
   1 100   1  27    0.1613540825E+02
   1 100   1  28    0.7088923789E+01
   1 100   1  29    0.9284119426E+01
   1 100   1  30    0.1096817718E+02
   1 100   1  31    0.7719210774E+01
   1 100   1  32    0.1004761818E+02
   1 100   1  33    0.6998645125E+01
   1 100   1  34    0.8348844634E+01
   1 100   1  35    0.6689496508E+01
   1 100   1  36    0.6769547549E+01
   1 100   1  37    0.7248209443E+01
   1 100   1  38    0.9135397999E+01
   1 100   1  39    0.9712821941E+01
   1 100   1  40    0.9980993606E+01
   1 100   1  41    0.2336152795E+02
   1 100   1  42    0.9510971779E+01
   1 100   1  43    0.6952366926E+01
   1 100   1  44    0.1531000820E+02
   1 100   1  45    0.7135360084E+01
   1 100   1  46    0.6505081984E+01
   1 100   1  47    0.1182500899E+02
   1 100   1  48    0.1454120449E+02
   1 100   1  49    0.8021395124E+01
   1 100   1  50    0.7289509310E+01
   1 100   1  51    0.6451887882E+01
   1 100   1  52    0.6840305553E+01
   1 100   1  53    0.6915455377E+01
   1 100   1  54    0.1231810861E+02
   1 100   1  55    0.4607614860E+01
   1 100   1  56    0.1219338310E+02
   1 100   1  57    0.9749502875E+01
   1 100   1  58    0.7198120189E+01
   1 100   1  59    0.8803618596E+01
   1 100   1  60    0.1315350816E+02
   1 100   1  61    0.6606509859E+01
   1 100   1  62    0.7592573694E+01
   1 100   1  63    0.5732753407E+01
   1 100   1  64    0.1033922132E+02
   1 100   1  65    0.7579090479E+01
   1 100   1  66    0.6695366749E+01
   1 100   1  67    0.4838906790E+01
   1 100   1  68    0.8604456460E+01
   1 100   1  69    0.5334445797E+01
   1 100   1  70    0.5430649558E+01
   1 100   1  71    0.6454976022E+01
   1 100   1  72    0.1108669526E+02
   1 100   1  73    0.8633999204E+01
   1 100   1  74    0.5362580471E+01
   1 100   1  75    0.5922421316E+01
   1 100   1  76    0.5537459158E+01
   1 100   1  77    0.4526176132E+01
   1 100   1  78    0.7468509055E+01
   1 100   1  79    0.7305592034E+01
   1 100   1  80    0.4999392491E+01
   1 100   1  81    0.3952953062E+01
   1 100   1  82    0.5059775285E+01
   1 100   1  83    0.1070738982E+02
   1 100   1  84    0.7378960291E+01
   1 100   1  85    0.1303867884E+02
