#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.2400000000E+03    0.1190534440E+02   -0.1987639901E+02   -0.1676748494E+02    0.0000000000E+00    0.8796430333E+01
     0.2410000000E+03    0.1190829235E+02   -0.1985155776E+02   -0.1675221597E+02    0.0000000000E+00    0.8808950559E+01
     0.2420000000E+03    0.1192321696E+02   -0.1985293664E+02   -0.1675490954E+02    0.0000000000E+00    0.8825189863E+01
     0.2430000000E+03    0.1192321697E+02   -0.1985293664E+02   -0.1675490955E+02    0.0000000000E+00    0.8825189873E+01
     0.2440000000E+03    0.1198459991E+02   -0.1973940761E+02   -0.1673634911E+02    0.0000000000E+00    0.8981541402E+01
     0.2450000000E+03    0.1198459992E+02   -0.1973940760E+02   -0.1673634911E+02    0.0000000000E+00    0.8981541428E+01
     0.2460000000E+03    0.1200316014E+02   -0.1970562391E+02   -0.1673097675E+02    0.0000000000E+00    0.9028512980E+01
     0.2470000000E+03    0.1201051632E+02   -0.1973882883E+02   -0.1672972506E+02    0.0000000000E+00    0.9001412541E+01
     0.2480000000E+03    0.1201051633E+02   -0.1973882882E+02   -0.1672972506E+02    0.0000000000E+00    0.9001412573E+01
     0.2490000000E+03    0.1216368667E+02   -0.1970089793E+02   -0.1661691058E+02    0.0000000000E+00    0.9079699325E+01
     0.2500000000E+03    0.1216368668E+02   -0.1970089793E+02   -0.1661691056E+02    0.0000000000E+00    0.9079699321E+01
     0.2510000000E+03    0.1237370083E+02   -0.1959338690E+02   -0.1654666308E+02    0.0000000000E+00    0.9326977012E+01
     0.2520000000E+03    0.1237370094E+02   -0.1959338681E+02   -0.1654666303E+02    0.0000000000E+00    0.9326977163E+01
     0.2530000000E+03    0.1340471587E+02   -0.1868241077E+02   -0.1647201408E+02    0.0000000000E+00    0.1119431917E+02
     0.2540000000E+03    0.1380250491E+02   -0.1957398187E+02   -0.1701566698E+02    0.0000000000E+00    0.1124419002E+02
     0.2550000000E+03    0.1380250493E+02   -0.1957398186E+02   -0.1701566697E+02    0.0000000000E+00    0.1124419004E+02
     0.2560000000E+03    0.1496734209E+02   -0.1152144905E+02   -0.1510850835E+02    0.0000000000E+00    0.1855440140E+02
     0.2570000000E+03    0.1824192746E+02   -0.9056089832E+01   -0.1471117488E+02    0.0000000000E+00    0.2389701250E+02
     0.2580000000E+03    0.1825459061E+02   -0.9066737615E+01   -0.1471543265E+02    0.0000000000E+00    0.2390328564E+02
     0.2590000000E+03    0.1825459061E+02   -0.9066737611E+01   -0.1471543265E+02    0.0000000000E+00    0.2390328565E+02
     0.2600000000E+03    0.1831082027E+02   -0.8919978712E+01   -0.1457390828E+02    0.0000000000E+00    0.2396474984E+02
     0.2610000000E+03    0.1831686137E+02   -0.9036353391E+01   -0.1469436095E+02    0.0000000000E+00    0.2397486893E+02
     0.2620000000E+03    0.1831686138E+02   -0.9036353385E+01   -0.1469436095E+02    0.0000000000E+00    0.2397486895E+02
     0.2630000000E+03    0.1856230574E+02   -0.8111927741E+01   -0.1366864019E+02    0.0000000000E+00    0.2411901819E+02
     0.2640000000E+03    0.1856230578E+02   -0.8111927724E+01   -0.1366864018E+02    0.0000000000E+00    0.2411901823E+02
     0.2650000000E+03    0.1862630681E+02   -0.8088697953E+01   -0.1364868530E+02    0.0000000000E+00    0.2418629416E+02
     0.2660000000E+03    0.1864269565E+02   -0.8119175337E+01   -0.1369293382E+02    0.0000000000E+00    0.2421645413E+02
     0.2670000000E+03    0.1864269569E+02   -0.8119175333E+01   -0.1369293382E+02    0.0000000000E+00    0.2421645418E+02
     0.2680000000E+03    0.1864561425E+02   -0.8238177960E+01   -0.1384186763E+02    0.0000000000E+00    0.2424930392E+02
     0.2690000000E+03    0.1938412777E+02   -0.9452661388E+01   -0.1569058673E+02    0.0000000000E+00    0.2562205311E+02
     0.2700000000E+03    0.1949233308E+02   -0.9410599182E+01   -0.1565928134E+02    0.0000000000E+00    0.2574101524E+02
     0.2710000000E+03    0.1949233313E+02   -0.9410599157E+01   -0.1565928133E+02    0.0000000000E+00    0.2574101530E+02
     0.2720000000E+03    0.1980937611E+02   -0.8029824476E+01   -0.1401035024E+02    0.0000000000E+00    0.2578990188E+02
     0.2730000000E+03    0.1982546117E+02   -0.8143861466E+01   -0.1413710559E+02    0.0000000000E+00    0.2581870529E+02
     0.2740000000E+03    0.1983072928E+02   -0.8152424693E+01   -0.1414656519E+02    0.0000000000E+00    0.2582486978E+02
     0.2750000000E+03    0.1983072930E+02   -0.8152424686E+01   -0.1414656518E+02    0.0000000000E+00    0.2582486980E+02
     0.2760000000E+03    0.1985195768E+02   -0.8163918907E+01   -0.1414660196E+02    0.0000000000E+00    0.2583464073E+02
     0.2770000000E+03    0.1985195770E+02   -0.8163918908E+01   -0.1414660192E+02    0.0000000000E+00    0.2583464071E+02
     0.2780000000E+03    0.1987361056E+02   -0.8166253406E+01   -0.1415910722E+02    0.0000000000E+00    0.2586646437E+02
     0.2790000000E+03    0.1987361058E+02   -0.8166253428E+01   -0.1415910725E+02    0.0000000000E+00    0.2586646440E+02
     0.2800000000E+03    0.1990045692E+02   -0.8152417507E+01   -0.1415130299E+02    0.0000000000E+00    0.2589934241E+02
