#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
     0.2400000000E+03    0.1190534440E+02    0.8796430333E+01    0.1107754860E+02   -0.8277958025E+00    0.2281128744E+01    0.4128295940E-01
     0.2410000000E+03    0.1190829235E+02    0.8808950559E+01    0.1108970570E+02   -0.8185866526E+00    0.2280888311E+01    0.5785574242E-02
     0.2420000000E+03    0.1192321696E+02    0.8825189863E+01    0.1110851460E+02   -0.8147023575E+00    0.2283391570E+01    0.5014959270E-02
     0.2430000000E+03    0.1192321697E+02    0.8825189873E+01    0.1110849011E+02   -0.8147268557E+00    0.2283367080E+01    0.5015039092E-02
     0.2440000000E+03    0.1198459991E+02    0.8981541402E+01    0.1120448386E+02   -0.7801160435E+00    0.2222917349E+01    0.5566525103E-02
     0.2450000000E+03    0.1198459992E+02    0.8981541428E+01    0.1120452651E+02   -0.7800734079E+00    0.2222959978E+01    0.5566903014E-02
     0.2460000000E+03    0.1200316014E+02    0.9028512980E+01    0.1122323511E+02   -0.7799250316E+00    0.2194033215E+01    0.3574923219E-02
     0.2470000000E+03    0.1201051632E+02    0.9001412541E+01    0.1122069128E+02   -0.7898250381E+00    0.2219320792E+01    0.3789965184E-02
     0.2480000000E+03    0.1201051633E+02    0.9001412573E+01    0.1122071302E+02   -0.7898033114E+00    0.2219342465E+01    0.3789765698E-02
     0.2490000000E+03    0.1216368667E+02    0.9079699325E+01    0.1136555064E+02   -0.7981360230E+00    0.2285889437E+01    0.3958783420E-02
     0.2500000000E+03    0.1216368668E+02    0.9079699321E+01    0.1136553650E+02   -0.7981501864E+00    0.2285875296E+01    0.3958734827E-02
     0.2510000000E+03    0.1237370083E+02    0.9326977012E+01    0.1159066426E+02   -0.7830365767E+00    0.2270510297E+01    0.8661398442E-02
     0.2520000000E+03    0.1237370094E+02    0.9326977163E+01    0.1159065504E+02   -0.7830459049E+00    0.2270500732E+01    0.8661046126E-02
     0.2530000000E+03    0.1340471587E+02    0.1119431917E+02    0.1277407060E+02   -0.6306452674E+00    0.1579763935E+01    0.2987097657E-02
     0.2540000000E+03    0.1380250491E+02    0.1124419002E+02    0.1306893936E+02   -0.7335655514E+00    0.1824764888E+01    0.2656550341E-02
     0.2550000000E+03    0.1380250493E+02    0.1124419004E+02    0.1306896419E+02   -0.7335407375E+00    0.1824789701E+01    0.2656551566E-02
     0.2560000000E+03    0.1496734209E+02    0.1855440140E+02    0.1521477424E+02    0.2474321456E+00   -0.3339685720E+01   -0.8575402804E-02
     0.2570000000E+03    0.1824192746E+02    0.2389701250E+02    0.1920156688E+02    0.9596394155E+00   -0.4695464494E+01   -0.2990172370E-02
     0.2580000000E+03    0.1825459061E+02    0.2390328564E+02    0.1921933424E+02    0.9647436361E+00   -0.4683969594E+01   -0.2932658186E-02
