#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
     0.2400000000E+03    0.1193508394E+02    0.8728109506E+01    0.1110184318E+02   -0.8332407671E+00    0.2375346922E+01    0.6574198967E-02
     0.2410000000E+03    0.1198493612E+02    0.8894792026E+01    0.1115137555E+02   -0.8335605723E+00    0.2257253070E+01    0.3378298237E-02
     0.2420000000E+03    0.1198493617E+02    0.8894792085E+01    0.1115137481E+02   -0.8335613542E+00    0.2257252263E+01    0.3378249487E-02
     0.2430000000E+03    0.1201419177E+02    0.8933090629E+01    0.1118398450E+02   -0.8302072737E+00    0.2251410223E+01    0.3273757877E-02
     0.2440000000E+03    0.1201419186E+02    0.8933090747E+01    0.1118398449E+02   -0.8302073609E+00    0.2251410102E+01    0.3273740479E-02
     0.2450000000E+03    0.1203005268E+02    0.8940059791E+01    0.1119718098E+02   -0.8328716998E+00    0.2257642449E+01    0.3309814358E-02
     0.2460000000E+03    0.1203005276E+02    0.8940059935E+01    0.1119718094E+02   -0.8328718215E+00    0.2257642276E+01    0.3309804466E-02
     0.2470000000E+03    0.1205931679E+02    0.8974499443E+01    0.1122756337E+02   -0.8317534275E+00    0.2253732782E+01    0.3281957398E-02
     0.2480000000E+03    0.1206713393E+02    0.8985588283E+01    0.1123392738E+02   -0.8332065509E+00    0.2248996574E+01    0.3314486877E-02
     0.2490000000E+03    0.1206713401E+02    0.8985588384E+01    0.1123392777E+02   -0.8332062461E+00    0.2248996859E+01    0.3314491120E-02
     0.2500000000E+03    0.1206758638E+02    0.8982182746E+01    0.1123670651E+02   -0.8308798710E+00    0.2255181199E+01    0.3271290282E-02
     0.2510000000E+03    0.1206758642E+02    0.8982182764E+01    0.1123670573E+02   -0.8308806918E+00    0.2255180397E+01    0.3271271942E-02
     0.2520000000E+03    0.1207833220E+02    0.9016474151E+01    0.1125008742E+02   -0.8282447799E+00    0.2234131769E+01    0.3238242933E-02
     0.2530000000E+03    0.1263982823E+02    0.9174859745E+01    0.1183086244E+02   -0.8089657958E+00    0.2658626032E+01    0.6432005012E-02
     0.2540000000E+03    0.1379485200E+02    0.1126001738E+02    0.1304969645E+02   -0.7451555517E+00    0.1790094231E+01    0.2500193374E-02
     0.2550000000E+03    0.1379485205E+02    0.1126001745E+02    0.1304969588E+02   -0.7451561704E+00    0.1790093591E+01    0.2500191824E-02
     0.2560000000E+03    0.1398703549E+02    0.1134786654E+02    0.1324941427E+02   -0.7376212172E+00    0.1902090077E+01    0.2905150923E-02
     0.2570000000E+03    0.1485127998E+02    0.1126112499E+02    0.1417258985E+02   -0.6786901317E+00    0.2912303923E+01    0.6518267988E-02
     0.2580000000E+03    0.1816427960E+02    0.2378921038E+02    0.1912488752E+02    0.9606079184E+00   -0.4665046224E+01   -0.2850601474E-02
     0.2590000000E+03    0.1831052286E+02    0.2396987652E+02    0.1929679009E+02    0.9862672286E+00   -0.4673928434E+01   -0.2805552000E-02
