#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.4800000000E+03    0.1184470945E+02   -0.2001034664E+02   -0.1679298173E+02    0.0000000000E+00    0.8627344543E+01
     0.4810000000E+03    0.1199251450E+02   -0.2014346969E+02   -0.1684940839E+02    0.0000000000E+00    0.8698453212E+01
     0.4820000000E+03    0.1238426510E+02   -0.1972566938E+02   -0.1683917674E+02    0.0000000000E+00    0.9497772469E+01
     0.4830000000E+03    0.1238426511E+02   -0.1972566938E+02   -0.1683917674E+02    0.0000000000E+00    0.9497772472E+01
     0.4840000000E+03    0.1244208974E+02   -0.1974617742E+02   -0.1683289844E+02    0.0000000000E+00    0.9528810760E+01
     0.4850000000E+03    0.1247182514E+02   -0.1963825622E+02   -0.1680326801E+02    0.0000000000E+00    0.9636836926E+01
     0.4860000000E+03    0.1247182514E+02   -0.1963825623E+02   -0.1680326802E+02    0.0000000000E+00    0.9636836925E+01
     0.4870000000E+03    0.1249107203E+02   -0.1963447160E+02   -0.1680443015E+02    0.0000000000E+00    0.9661030587E+01
     0.4880000000E+03    0.1249107206E+02   -0.1963447158E+02   -0.1680443015E+02    0.0000000000E+00    0.9661030627E+01
     0.4890000000E+03    0.1249535213E+02   -0.1965522505E+02   -0.1682087486E+02    0.0000000000E+00    0.9661001942E+01
     0.4900000000E+03    0.1249535214E+02   -0.1965522502E+02   -0.1682087485E+02    0.0000000000E+00    0.9661001972E+01
     0.4910000000E+03    0.1250932208E+02   -0.1965164617E+02   -0.1681701590E+02    0.0000000000E+00    0.9674691805E+01
     0.4920000000E+03    0.1251166908E+02   -0.1965390713E+02   -0.1681896231E+02    0.0000000000E+00    0.9676724264E+01
     0.4930000000E+03    0.1251166911E+02   -0.1965390711E+02   -0.1681896230E+02    0.0000000000E+00    0.9676724304E+01
     0.4940000000E+03    0.1251714940E+02   -0.1963061155E+02   -0.1680656504E+02    0.0000000000E+00    0.9693102899E+01
     0.4950000000E+03    0.1251978209E+02   -0.1964420281E+02   -0.1681263973E+02    0.0000000000E+00    0.9688219008E+01
     0.4960000000E+03    0.1251978210E+02   -0.1964420280E+02   -0.1681263973E+02    0.0000000000E+00    0.9688219022E+01
     0.4970000000E+03    0.1291736099E+02   -0.2024143935E+02   -0.1702352062E+02    0.0000000000E+00    0.9699442266E+01
     0.4980000000E+03    0.1384623757E+02   -0.1948632316E+02   -0.1709721859E+02    0.0000000000E+00    0.1145713299E+02
     0.4990000000E+03    0.1384623758E+02   -0.1948632314E+02   -0.1709721858E+02    0.0000000000E+00    0.1145713303E+02
     0.5000000000E+03    0.1394969329E+02   -0.1958655959E+02   -0.1712037301E+02    0.0000000000E+00    0.1148350671E+02
     0.5010000000E+03    0.1504105405E+02   -0.2142394996E+02   -0.1787494025E+02    0.0000000000E+00    0.1149204433E+02
     0.5020000000E+03    0.1802076393E+02   -0.8730576958E+01   -0.1415970935E+02    0.0000000000E+00    0.2344989632E+02
     0.5030000000E+03    0.1808924697E+02   -0.8654662683E+01   -0.1409342552E+02    0.0000000000E+00    0.2352800980E+02
     0.5040000000E+03    0.1808924697E+02   -0.8654662682E+01   -0.1409342552E+02    0.0000000000E+00    0.2352800981E+02
     0.5050000000E+03    0.1814548738E+02   -0.8649979844E+01   -0.1408763176E+02    0.0000000000E+00    0.2358313930E+02
     0.5060000000E+03    0.1814548740E+02   -0.8649979839E+01   -0.1408763176E+02    0.0000000000E+00    0.2358313931E+02
     0.5070000000E+03    0.1823993475E+02   -0.8791402685E+01   -0.1421278653E+02    0.0000000000E+00    0.2366131859E+02
     0.5080000000E+03    0.1862390050E+02   -0.9322229212E+01   -0.1500799689E+02    0.0000000000E+00    0.2430966818E+02
     0.5090000000E+03    0.1866696124E+02   -0.9349114849E+01   -0.1504525324E+02    0.0000000000E+00    0.2436309963E+02
     0.5100000000E+03    0.1866696125E+02   -0.9349114846E+01   -0.1504525324E+02    0.0000000000E+00    0.2436309964E+02
     0.5110000000E+03    0.1868999622E+02   -0.9319555105E+01   -0.1502335334E+02    0.0000000000E+00    0.2439379446E+02
     0.5120000000E+03    0.1868999623E+02   -0.9319555097E+01   -0.1502335334E+02    0.0000000000E+00    0.2439379448E+02
     0.5130000000E+03    0.1879678901E+02   -0.9278946724E+01   -0.1495913883E+02    0.0000000000E+00    0.2447698112E+02
     0.5140000000E+03    0.1921635739E+02   -0.8266616279E+01   -0.1395410793E+02    0.0000000000E+00    0.2490384904E+02
     0.5150000000E+03    0.1926062781E+02   -0.8099295865E+01   -0.1376951556E+02    0.0000000000E+00    0.2493084750E+02
     0.5160000000E+03    0.1926062782E+02   -0.8099295865E+01   -0.1376951557E+02    0.0000000000E+00    0.2493084752E+02
     0.5170000000E+03    0.1926414759E+02   -0.8256119492E+01   -0.1395774114E+02    0.0000000000E+00    0.2496576923E+02
     0.5180000000E+03    0.1927168857E+02   -0.8093295371E+01   -0.1376727572E+02    0.0000000000E+00    0.2494566892E+02
     0.5190000000E+03    0.1929512942E+02   -0.8251061072E+01   -0.1396927434E+02    0.0000000000E+00    0.2501334269E+02
     0.5200000000E+03    0.1929512944E+02   -0.8251061045E+01   -0.1396927431E+02    0.0000000000E+00    0.2501334270E+02
