#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
     0.4800000000E+03    0.1184470945E+02    0.8627344543E+01    0.1101691953E+02   -0.8277899227E+00    0.2390139082E+01    0.3331698834E-02
     0.4810000000E+03    0.1199251450E+02    0.8698453212E+01    0.1118905405E+02   -0.8034604496E+00    0.2501166373E+01    0.4221509870E-02
     0.4820000000E+03    0.1238426510E+02    0.9497772469E+01    0.1165055661E+02   -0.7337084956E+00    0.2153234991E+01    0.2961509699E-02
     0.4830000000E+03    0.1238426511E+02    0.9497772472E+01    0.1165053447E+02   -0.7337306356E+00    0.2153212854E+01    0.2961492949E-02
     0.4840000000E+03    0.1244208974E+02    0.9528810760E+01    0.1171150057E+02   -0.7305891694E+00    0.2181210997E+01    0.7074466266E-02
     0.4850000000E+03    0.1247182514E+02    0.9636836926E+01    0.1175013365E+02   -0.7216914829E+00    0.2113735079E+01    0.2953783299E-02
     0.4860000000E+03    0.1247182514E+02    0.9636836925E+01    0.1175013763E+02   -0.7216875135E+00    0.2113739053E+01    0.2953781226E-02
     0.4870000000E+03    0.1249107203E+02    0.9661030587E+01    0.1177144790E+02   -0.7196241317E+00    0.2110859566E+01    0.2941434975E-02
     0.4880000000E+03    0.1249107206E+02    0.9661030627E+01    0.1177144644E+02   -0.7196256182E+00    0.2110858068E+01    0.2941455782E-02
     0.4890000000E+03    0.1249535213E+02    0.9661001942E+01    0.1177479912E+02   -0.7205530102E+00    0.2114178320E+01    0.2857418745E-02
     0.4900000000E+03    0.1249535214E+02    0.9661001972E+01    0.1177480343E+02   -0.7205487159E+00    0.2114182601E+01    0.2857424473E-02
     0.4910000000E+03    0.1250932208E+02    0.9674691805E+01    0.1178902341E+02   -0.7202986637E+00    0.2114781310E+01    0.2960077434E-02
     0.4920000000E+03    0.1251166908E+02    0.9676724264E+01    0.1179170680E+02   -0.7199622809E+00    0.2115431624E+01    0.2915492233E-02
     0.4930000000E+03    0.1251166911E+02    0.9676724304E+01    0.1179169518E+02   -0.7199739235E+00    0.2115419968E+01    0.2915483737E-02
     0.4940000000E+03    0.1251714940E+02    0.9693102899E+01    0.1179772418E+02   -0.7194252274E+00    0.2105069637E+01    0.2917359290E-02
     0.4950000000E+03    0.1251978209E+02    0.9688219008E+01    0.1179841737E+02   -0.7213647133E+00    0.2110644761E+01    0.2835417388E-02
     0.4960000000E+03    0.1251978210E+02    0.9688219022E+01    0.1179843721E+02   -0.7213448816E+00    0.2110664594E+01    0.2835420192E-02
     0.4970000000E+03    0.1291736099E+02    0.9699442266E+01    0.1220810933E+02   -0.7092516686E+00    0.2509772636E+01    0.6203536856E-02
     0.4980000000E+03    0.1384623757E+02    0.1145713299E+02    0.1319319913E+02   -0.6530384316E+00    0.1736362692E+01    0.2047032579E-02
     0.4990000000E+03    0.1384623758E+02    0.1145713303E+02    0.1319319906E+02   -0.6530385257E+00    0.1736362587E+01    0.2047030973E-02
     0.5000000000E+03    0.1394969329E+02    0.1148350671E+02    0.1329909722E+02   -0.6505960673E+00    0.1815893178E+01    0.2283941966E-02
     0.5010000000E+03    0.1504105405E+02    0.1149204433E+02    0.1449052355E+02   -0.5505304994E+00    0.2998963830E+01    0.6378338005E-02
     0.5020000000E+03    0.1802076393E+02    0.2344989632E+02    0.1905762206E+02    0.1036858134E+01   -0.4392995708E+01   -0.2282966715E-02
     0.5030000000E+03    0.1808924697E+02    0.2352800980E+02    0.1912420407E+02    0.1034957100E+01   -0.4404522637E+01   -0.2254412150E-02
     0.5040000000E+03    0.1808924697E+02    0.2352800981E+02    0.1912420536E+02    0.1034958387E+01   -0.4404521353E+01   -0.2254415669E-02
     0.5050000000E+03    0.1814548738E+02    0.2358313930E+02    0.1917901490E+02    0.1033527514E+01   -0.4404840840E+01   -0.2241146784E-02
