 in_star,      iq
       1,     137
       2,     755
       3,     953
       4,     379
       5,     476
       6,     614
       7,     838
       8,     296
       9,     530
      10,     784
      11,     362
      12,     548
      13,     317
      14,     575
      15,     593
      16,     739
      17,     164
      18,     926
      19,     746
      20,     388
      21,     874
      22,     632
      23,     260
      24,     458
       1,     975
       2,     357
       3,     159
       4,     733
       5,     636
       6,     498
       7,     274
       8,     816
       9,     582
      10,     328
      11,     750
      12,     564
      13,     795
      14,     537
      15,     519
      16,     373
      17,     948
      18,     186
      19,     366
      20,     724
      21,     238
      22,     480
      23,     852
      24,     654
