T,gap
104.6296296296, 5.4494680851
169.4444444444, 5.4465957447
195.3703703704, 5.4462765957
210.1851851852, 5.4453191489
224.0740740741, 5.4437234043
244.4444444444, 5.4437234043
262.0370370370, 5.4491489362
262.9629629630, 5.4392553191
281.4814814815, 5.4402127660
281.4814814815, 5.4472340426
296.2962962963, 5.4459574468
314.8148148148, 5.4465957447
303.7037037037, 5.4382978723
293.5185185185, 5.4357446809
318.5185185185, 5.4367021277
319.4444444444, 5.4411702128
333.3333333333, 5.4408510638
348.1481481481, 5.4402127660
350.0000000000, 5.4354255319
332.4074074074, 5.4309574468
349.0740740741, 5.4261702128
383.3333333333, 5.4315957447
377.7777777778, 5.4274468085
422.2222222222, 5.4217021277
464.8148148148, 5.4000000000
525.9259259259, 5.3958510638
557.4074074074, 5.3904255319
604.6296296296, 5.3776595745
624.0740740741, 5.3680851064
651.8518518519, 5.3604255319
675.9259259259, 5.3505319149
695.3703703704, 5.3441489362
