T,edge,center
0.00,3.862909,4.060461 
10.00,3.862909,4.060461 
20.00,3.862909,4.060461 
30.00,3.862909,4.060461 
40.00,3.862909,4.060461 
50.00,3.862909,4.060461 
60.00,3.862909,4.060460 
70.00,3.862909,4.060460 
80.00,3.862907,4.060459 
90.00,3.862905,4.060456 
100.00,3.862900,4.060451 
110.00,3.862891,4.060442 
120.00,3.862877,4.060429 
130.00,3.862856,4.060408 
140.00,3.862825,4.060378 
150.00,3.862782,4.060337 
160.00,3.862721,4.060281 
170.00,3.862640,4.060207 
180.00,3.862532,4.060111 
190.00,3.862393,4.059990 
200.00,3.862215,4.059838 
210.00,3.861993,4.059653 
220.00,3.861721,4.059429 
230.00,3.861391,4.059163 
240.00,3.860998,4.058850 
250.00,3.860534,4.058486 
260.00,3.859995,4.058068 
270.00,3.859375,4.057592 
280.00,3.858669,4.057056 
290.00,3.857872,4.056456 
300.00,3.856982,4.055791 
310.00,3.855993,4.055059 
320.00,3.854904,4.054257 
330.00,3.853712,4.053386 
340.00,3.852416,4.052442 
350.00,3.851013,4.051427 
360.00,3.849504,4.050340 
370.00,3.847887,4.049180 
380.00,3.846163,4.047948 
390.00,3.844332,4.046644 
400.00,3.842394,4.045268 
410.00,3.840350,4.043821 
420.00,3.838201,4.042304 
430.00,3.835948,4.040718 
440.00,3.833592,4.039064 
450.00,3.831135,4.037343 
460.00,3.828579,4.035556 
470.00,3.825925,4.033704 
480.00,3.823176,4.031788 
490.00,3.820332,4.029811 
500.00,3.817397,4.027772 
510.00,3.814371,4.025675 
520.00,3.811257,4.023519 
530.00,3.808057,4.021306 
540.00,3.804774,4.019039 
550.00,3.801408,4.016717 
560.00,3.797962,4.014343 
570.00,3.794439,4.011918 
580.00,3.790839,4.009442 
590.00,3.787165,4.006918 
600.00,3.783420,4.004347 
610.00,3.779604,4.001730 
620.00,3.775719,3.999068 
630.00,3.771768,3.996363 
640.00,3.767753,3.993615 
650.00,3.763674,3.990826 
660.00,3.759534,3.987996 
670.00,3.755334,3.985128 
680.00,3.751076,3.982222 
690.00,3.746762,3.979279 
700.00,3.742393,3.976300 
710.00,3.737970,3.973286 
720.00,3.733495,3.970238 
730.00,3.728970,3.967157 
740.00,3.724395,3.964044 
750.00,3.719773,3.960900 
760.00,3.715104,3.957726 
770.00,3.710390,3.954522 
780.00,3.705632,3.951289 
790.00,3.700830,3.948028 
800.00,3.695987,3.944740 
810.00,3.691103,3.941426 
820.00,3.686180,3.938086 
830.00,3.681218,3.934720 
840.00,3.676219,3.931331 
850.00,3.671183,3.927917 
860.00,3.666112,3.924481 
870.00,3.661006,3.921021 
880.00,3.655866,3.917540 
890.00,3.650693,3.914038 
900.00,3.645488,3.910514 
910.00,3.640252,3.906971 
920.00,3.634986,3.903407 
930.00,3.629690,3.899825 
940.00,3.624365,3.896223 
950.00,3.619011,3.892603 
960.00,3.613631,3.888966 
970.00,3.608223,3.885311 
980.00,3.602790,3.881639 
990.00,3.597330,3.877950 
1000.00,3.591846,3.874245 
