T,gap
125.5678163548,	7.1363595432
158.5826388988,	7.1356734466
159.8047483598,	7.1429432112
160.8481868470,	7.1199103786
196.2572004402,	7.1252790841
222.2109460985,	7.1270343477
265.8852789411,	7.1342011978
281.1723674619,	7.1268914109
302.3270107631,	7.1147189148
302.3984791527,	7.1268399537
303.5491202241,	7.1219886794
303.6098683552,	7.1322915624
360.1127771187,	7.1151848887
388.2891896914,	7.0939044611
422.3796114978,	7.0756399994
468.3730935807,	7.0761345607
508.3346435871,	7.0536134418
537.8510884636,	7.0596024928
587.1142493675,	7.0146345821
