T,gap
115.6021505376,	7.0734566308
157.1326164875,	7.0952401434
191.0788530466,	7.0738810036
207.7096774194,	7.0841749104
226.4336917563,	7.0719713262
246.4516129032,	7.0694910394
252.4480286738,	7.0779870968
299.5161290323,	7.0693620072
301.6881720430,	7.0535512545
301.9749103943,	7.0778666667
344.1971326165,	7.0583111111
362.7562724014,	7.0321261649
391.1648745520,	7.0411756272
422.7598566308,	7.0204301075
452.2974910394,	7.0252215054
480.6272401434,	7.0275842294
505.4265232975,	7.0305634409
531.3189964158,	7.0262451613
561.7419354839,	7.0061103943
591.1792114695,	7.0023913978
621.7598566308,	6.9956301075
651.0609318996,	6.9803612903
683.6487455197,	6.9438078853
